<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/13/2015,PNSE,422,422,422,422,0
11/12/2015,PNSE,422,422,422,422,100
11/11/2015,PNSE,425,425,425,425,0
11/10/2015,PNSE,425,425,425,425,0
11/9/2015,PNSE,425,425,425,425,0
11/13/2015,POLY,56,56,54,54,183500
11/12/2015,POLY,55,56,55,55,254500
11/11/2015,POLY,55,57,54,55,316300
11/10/2015,POLY,54,57,53,55,356600
11/9/2015,POLY,60,60,55,55,1391100
11/13/2015,POOL,2990,2990,2990,2990,0
11/12/2015,POOL,2990,2990,2990,2990,0
11/11/2015,POOL,2990,2990,2990,2990,0
11/10/2015,POOL,2990,2990,2990,2990,0
11/9/2015,POOL,2990,2990,2990,2990,0
11/13/2015,PRAS,120,129,120,129,35700
11/12/2015,PRAS,128,128,128,128,900
11/11/2015,PRAS,122,122,122,122,10000
11/10/2015,PRAS,122,122,122,122,2500
11/9/2015,PRAS,124,130,122,122,19800
11/13/2015,PSAB,1435,1440,1430,1440,516400
11/12/2015,PSAB,1440,1450,1400,1445,2496000
11/11/2015,PSAB,1445,1455,1435,1445,1390700
11/10/2015,PSAB,1460,1460,1450,1450,627400
11/9/2015,PSAB,1465,1465,1455,1460,1074700
11/13/2015,PSDN,114,114,114,114,0
11/12/2015,PSDN,114,114,114,114,0
11/11/2015,PSDN,114,114,114,114,0
11/10/2015,PSDN,114,114,114,114,0
11/9/2015,PSDN,114,114,114,114,0
11/13/2015,PSKT,1010,1010,1010,1010,0
11/12/2015,PSKT,1010,1010,1010,1010,0
11/11/2015,PSKT,1010,1010,1010,1010,252000
11/10/2015,PSKT,1015,1015,1015,1015,100
11/9/2015,PSKT,1020,1020,1020,1020,0
11/13/2015,PTBA,6900,6925,6225,6375,17989100
11/12/2015,PTBA,7025,7175,6950,6975,3209700
11/11/2015,PTBA,7325,7325,6775,6925,4787000
11/10/2015,PTBA,7450,7575,7325,7325,1819100
11/9/2015,PTBA,7450,7550,7350,7500,2693900
11/13/2015,PTIS,910,910,910,910,0
11/12/2015,PTIS,910,910,910,910,0
11/11/2015,PTIS,910,910,910,910,0
11/10/2015,PTIS,910,910,910,910,0
11/9/2015,PTIS,910,910,910,910,0
11/13/2015,PTPP,3745,3765,3705,3725,1726100
11/12/2015,PTPP,3720,3780,3705,3780,2855100
11/11/2015,PTPP,3725,3735,3650,3720,2629000
11/10/2015,PTPP,3650,3750,3640,3675,5967700
11/9/2015,PTPP,3700,3740,3670,3680,2351700
11/13/2015,PTRO,308,308,304,306,121700
11/12/2015,PTRO,308,311,305,308,625100
11/11/2015,PTRO,316,316,310,310,180100
11/10/2015,PTRO,316,316,314,316,304900
11/9/2015,PTRO,319,321,315,316,251000
11/13/2015,PTSN,67,67,63,63,200
11/12/2015,PTSN,65,65,65,65,0
11/11/2015,PTSN,65,65,65,65,0
11/10/2015,PTSN,66,66,65,65,300
11/9/2015,PTSN,64,64,64,64,10000
11/13/2015,PTSP,8500,8500,8500,8500,0
11/12/2015,PTSP,8500,8500,8500,8500,0
11/11/2015,PTSP,8500,8500,8500,8500,0
11/10/2015,PTSP,8500,8500,8500,8500,0
11/9/2015,PTSP,8500,8500,8500,8500,0
11/13/2015,PUDP,435,435,435,435,0
11/12/2015,PUDP,435,435,435,435,0
11/11/2015,PUDP,435,435,435,435,0
11/10/2015,PUDP,435,435,435,435,0
11/9/2015,PUDP,435,435,435,435,0
11/13/2015,PWON,435,450,433,444,39179300
11/12/2015,PWON,435,448,435,443,71336200
11/11/2015,PWON,437,441,425,435,28245900
11/10/2015,PWON,420,443,417,435,72215400
11/9/2015,PWON,450,454,422,425,43501300
11/13/2015,PYFA,111,113,109,111,44800
11/12/2015,PYFA,109,113,109,109,28000
11/11/2015,PYFA,106,109,106,109,15400
11/10/2015,PYFA,108,110,107,110,8900
11/9/2015,PYFA,108,111,108,111,3100
11/13/2015,RAJA,840,840,830,840,86300
11/12/2015,RAJA,840,860,840,860,150500
11/11/2015,RAJA,840,860,840,860,20000
11/10/2015,RAJA,870,870,835,840,60500
11/9/2015,RAJA,850,875,835,875,51100
11/13/2015,RALS,705,705,695,700,3613300
11/12/2015,RALS,680,705,680,705,3257700
11/11/2015,RALS,680,685,670,680,1979300
11/10/2015,RALS,695,700,675,675,889500
11/9/2015,RALS,710,710,690,700,9695700
11/13/2015,RANC,319,319,315,319,344200
11/12/2015,RANC,305,320,305,319,3948100
11/11/2015,RANC,298,305,295,304,4599800
11/10/2015,RANC,290,296,290,296,1905700
11/9/2015,RANC,290,293,289,290,3119800
11/13/2015,RBMS,61,61,61,61,17100
11/12/2015,RBMS,60,60,59,59,6000
11/11/2015,RBMS,61,61,61,61,0
11/10/2015,RBMS,61,61,61,61,46300
11/9/2015,RBMS,61,61,61,61,1700
11/13/2015,RDTX,5800,5800,5800,5800,0
11/12/2015,RDTX,5800,5800,5800,5800,0
11/11/2015,RDTX,5800,5800,5800,5800,0
11/10/2015,RDTX,5800,5800,5800,5800,0
11/9/2015,RDTX,5800,5800,5800,5800,0
11/13/2015,RELI,400,400,400,400,0
11/12/2015,RELI,400,400,400,400,0
11/11/2015,RELI,400,400,400,400,0
11/10/2015,RELI,400,400,400,400,0
11/9/2015,RELI,400,400,400,400,0
11/13/2015,RICY,167,167,167,167,0
11/12/2015,RICY,167,167,167,167,0
11/11/2015,RICY,167,167,167,167,100
11/10/2015,RICY,162,162,162,162,1300
11/9/2015,RICY,150,163,150,163,50100
11/13/2015,RIGS,143,160,143,157,400
11/12/2015,RIGS,143,143,143,143,0
11/11/2015,RIGS,143,143,143,143,0
11/10/2015,RIGS,144,144,143,143,3900
11/9/2015,RIGS,155,155,155,155,0
11/13/2015,RIMO,190,190,190,190,0
11/12/2015,RIMO,190,190,190,190,0
11/11/2015,RIMO,190,190,190,190,0
11/10/2015,RIMO,190,190,190,190,0
11/9/2015,RIMO,190,190,190,190,0
11/13/2015,RMBA,480,480,480,480,0
11/12/2015,RMBA,480,480,480,480,200
11/11/2015,RMBA,510,510,510,510,0
11/10/2015,RMBA,510,510,510,510,100
11/9/2015,RMBA,530,530,530,530,0
11/13/2015,RODA,414,414,410,410,1100
11/12/2015,RODA,422,422,417,417,2200
11/11/2015,RODA,424,424,424,424,3500
11/10/2015,RODA,418,418,418,418,6500
11/9/2015,RODA,419,419,419,419,4000
11/13/2015,ROTI,1230,1250,1210,1220,391600
11/12/2015,ROTI,1220,1255,1220,1240,213000
11/11/2015,ROTI,1275,1275,1195,1225,630900
11/10/2015,ROTI,1240,1285,1220,1260,2301100
11/9/2015,ROTI,1225,1245,1225,1240,7355900
11/13/2015,RUIS,225,225,225,225,639300
11/12/2015,RUIS,223,223,223,223,1290500
11/11/2015,RUIS,220,220,219,219,55000
11/10/2015,RUIS,230,230,217,219,200300
11/9/2015,RUIS,216,217,216,217,101800
11/13/2015,SAFE,90,90,90,90,10100
11/12/2015,SAFE,99,99,99,99,100
11/11/2015,SAFE,99,106,81,99,1100
11/10/2015,SAFE,106,106,90,90,4500
11/9/2015,SAFE,99,99,99,99,0
11/13/2015,SAME,2400,2425,2400,2400,224200
11/12/2015,SAME,2405,2420,2400,2410,200300
11/11/2015,SAME,2420,2425,2400,2405,146500
11/10/2015,SAME,2450,2455,2420,2420,109700
11/9/2015,SAME,2490,2490,2455,2460,128700
11/13/2015,SCBD,1695,1695,1695,1695,0
11/12/2015,SCBD,1695,1695,1695,1695,0
11/11/2015,SCBD,1695,1695,1695,1695,0
11/10/2015,SCBD,1695,1695,1695,1695,0
11/9/2015,SCBD,1695,1695,1695,1695,0
11/13/2015,SCCO,3700,3700,3700,3700,0
11/12/2015,SCCO,3700,3700,3700,3700,0
11/11/2015,SCCO,3700,3700,3700,3700,100
11/10/2015,SCCO,3600,3700,3600,3700,600
11/9/2015,SCCO,3700,3700,3700,3700,0
11/13/2015,SCMA,3280,3285,3215,3230,1702100
11/12/2015,SCMA,3275,3380,3245,3300,10508500
11/11/2015,SCMA,3200,3315,3110,3225,3181700
11/10/2015,SCMA,3110,3310,3060,3200,6452900
11/9/2015,SCMA,3205,3205,3070,3110,2465900
11/13/2015,SCPI,29000,29000,29000,29000,0
11/12/2015,SCPI,29000,29000,29000,29000,0
11/11/2015,SCPI,29000,29000,29000,29000,0
11/10/2015,SCPI,29000,29000,29000,29000,0
11/9/2015,SCPI,29000,29000,29000,29000,0
11/13/2015,SDMU,464,473,463,470,7779600
11/12/2015,SDMU,458,466,453,466,19622300
11/11/2015,SDMU,456,461,455,458,7230300
11/10/2015,SDMU,425,456,419,456,24370400
11/9/2015,SDMU,413,434,412,428,14611600
11/13/2015,SDPC,67,69,67,69,200
11/12/2015,SDPC,67,68,67,68,110000
11/11/2015,SDPC,67,67,67,67,50000
11/10/2015,SDPC,69,69,69,69,14500
11/9/2015,SDPC,70,70,69,70,402000
11/13/2015,SDRA,1160,1160,1160,1160,0
11/12/2015,SDRA,1160,1160,1160,1160,0
11/11/2015,SDRA,1160,1160,1160,1160,0
11/10/2015,SDRA,1160,1160,1160,1160,0
11/9/2015,SDRA,1160,1160,1160,1160,20000
11/13/2015,SGRO,1300,1300,1280,1300,1578400
11/12/2015,SGRO,1280,1320,1280,1300,905800
11/11/2015,SGRO,1325,1340,1265,1290,2099800
11/10/2015,SGRO,1280,1340,1280,1290,1127200
11/9/2015,SGRO,1350,1350,1265,1285,1367100
11/13/2015,SHID,463,468,463,465,4511300
11/12/2015,SHID,450,465,450,463,5580100
11/11/2015,SHID,450,450,449,449,218400
11/10/2015,SHID,451,451,449,449,239400
11/9/2015,SHID,451,451,450,450,327800
11/13/2015,SIAP,83,83,83,83,0
11/12/2015,SIAP,83,83,83,83,0
11/11/2015,SIAP,83,83,83,83,0
11/10/2015,SIAP,83,83,83,83,0
11/9/2015,SIAP,83,83,83,83,0
11/13/2015,SILO,9150,9150,8650,9000,1228800
11/12/2015,SILO,9350,9475,9075,9150,2103800
11/11/2015,SILO,9625,9700,9350,9350,1727800
11/10/2015,SILO,9600,9875,9525,9625,689100
11/9/2015,SILO,10150,10175,9825,9975,1094800
11/13/2015,SIMA,164,164,164,164,0
11/12/2015,SIMA,164,164,164,164,0
11/11/2015,SIMA,164,164,164,164,0
11/10/2015,SIMA,164,164,164,164,0
11/9/2015,SIMA,164,164,164,164,0
11/13/2015,SIMP,402,407,401,403,3886600
11/12/2015,SIMP,408,408,404,405,3564000
11/11/2015,SIMP,410,410,403,403,3352500
11/10/2015,SIMP,420,420,408,408,3018700
11/9/2015,SIMP,435,435,418,419,1984600
11/13/2015,SIPD,850,875,850,875,166300
11/12/2015,SIPD,810,850,810,850,860900
11/11/2015,SIPD,800,800,800,800,27000
11/10/2015,SIPD,800,805,800,805,27600
11/9/2015,SIPD,800,800,800,800,39200
11/13/2015,SKBM,945,945,945,945,0
11/12/2015,SKBM,945,945,945,945,0
11/11/2015,SKBM,945,945,945,945,0
11/10/2015,SKBM,945,945,945,945,0
11/9/2015,SKBM,945,945,945,945,0
11/13/2015,SKLT,390,390,390,390,0
11/12/2015,SKLT,390,390,390,390,0
11/11/2015,SKLT,390,390,390,390,0
11/10/2015,SKLT,390,390,390,390,0
11/9/2015,SKLT,390,390,390,390,0
11/13/2015,SKYB,420,420,420,420,0
11/12/2015,SKYB,420,420,420,420,0
11/11/2015,SKYB,420,420,420,420,0
11/10/2015,SKYB,420,420,420,420,0
11/9/2015,SKYB,420,420,420,420,0
11/13/2015,SMAR,4850,4850,4850,4850,1000
11/12/2015,SMAR,4850,4850,4850,4850,0
11/11/2015,SMAR,4850,4850,4850,4850,100
11/10/2015,SMAR,4700,4900,4380,4900,26400
11/9/2015,SMAR,4675,4675,4675,4675,0
11/13/2015,SMBR,320,328,318,321,13407900
11/12/2015,SMBR,314,330,314,322,44392300
11/11/2015,SMBR,294,314,293,313,21794100
11/10/2015,SMBR,294,296,290,294,5221800
11/9/2015,SMBR,302,302,292,294,7344700
11/13/2015,SMCB,1005,1020,995,1005,531400
11/12/2015,SMCB,1025,1025,1005,1020,73500
11/11/2015,SMCB,1035,1035,1000,1020,364900
11/10/2015,SMCB,1050,1050,1025,1035,464100
11/9/2015,SMCB,1075,1075,1050,1050,73200
11/13/2015,SMDM,95,95,95,95,30100
11/12/2015,SMDM,97,99,95,97,1400
11/11/2015,SMDM,91,99,91,95,51100
11/10/2015,SMDM,95,95,91,91,50100
11/9/2015,SMDM,91,91,91,91,100
11/13/2015,SMDR,5000,5000,4960,5000,26300
11/12/2015,SMDR,5200,5200,5000,5000,40000
11/11/2015,SMDR,5200,5200,5200,5200,300
11/10/2015,SMDR,5350,5400,5150,5400,5100
11/9/2015,SMDR,5200,5400,5175,5350,5500
11/13/2015,SMGR,10100,10875,10050,10675,13291600
11/12/2015,SMGR,10400,10600,10150,10150,4775400
11/11/2015,SMGR,9975,10575,9975,10500,11839900
11/10/2015,SMGR,10050,10325,9950,9950,4165200
11/9/2015,SMGR,10500,10550,10250,10250,4248200
11/13/2015,SMMA,5600,5600,5600,5600,0
11/12/2015,SMMA,5600,5600,5600,5600,0
11/11/2015,SMMA,5600,5600,5600,5600,0
11/10/2015,SMMA,5600,5600,5600,5600,0
11/9/2015,SMMA,5600,5600,5600,5600,0
11/13/2015,SMMT,285,285,246,246,5000
11/12/2015,SMMT,256,273,256,273,200
11/11/2015,SMMT,280,280,260,273,30200
11/10/2015,SMMT,270,270,270,270,2700
11/9/2015,SMMT,286,300,286,300,12900
11/13/2015,SMRA,1425,1510,1415,1465,39356900
11/12/2015,SMRA,1400,1490,1390,1465,33457500
11/11/2015,SMRA,1380,1420,1350,1390,20449800
11/10/2015,SMRA,1325,1450,1325,1370,26257000
11/9/2015,SMRA,1415,1435,1340,1380,36191100
11/13/2015,SMRU,229,230,212,230,58308000
11/12/2015,SMRU,231,232,222,229,47330500
11/11/2015,SMRU,236,236,214,231,38613400
11/10/2015,SMRU,238,238,228,237,55663400
11/9/2015,SMRU,237,238,233,238,29904600
11/13/2015,SMSM,4825,5000,4825,4900,153400
11/12/2015,SMSM,5050,5125,4910,4910,137400
11/11/2015,SMSM,5000,5150,5000,5000,104500
11/10/2015,SMSM,5075,5200,5050,5100,151500
11/9/2015,SMSM,5100,5200,4990,5025,225100
11/13/2015,SOBI,2000,2000,2000,2000,0
11/12/2015,SOBI,2000,2000,2000,2000,0
11/11/2015,SOBI,2000,2000,2000,2000,0
11/10/2015,SOBI,2000,2000,2000,2000,0
11/9/2015,SOBI,2000,2000,2000,2000,0
11/13/2015,SONA,4780,5450,4780,5450,68800
11/12/2015,SONA,3875,4625,3875,4620,65500
11/11/2015,SONA,3700,3700,3700,3700,0
11/10/2015,SONA,3700,3700,3700,3700,0
11/9/2015,SONA,3700,3700,3700,3700,0
11/13/2015,SPMA,104,110,100,100,357500
11/12/2015,SPMA,100,104,100,104,400
11/11/2015,SPMA,102,109,97,109,36300
11/10/2015,SPMA,98,102,97,102,18800
11/9/2015,SPMA,100,103,100,103,10800
11/13/2015,SQMI,1740,1800,1740,1800,200
11/12/2015,SQMI,1645,1645,1645,1645,0
11/11/2015,SQMI,1645,1645,1645,1645,0
11/10/2015,SQMI,1645,1645,1645,1645,0
11/9/2015,SQMI,1645,1645,1645,1645,100
11/13/2015,SRAJ,245,275,243,260,2095900
11/12/2015,SRAJ,200,270,200,270,4729400
11/11/2015,SRAJ,200,200,200,200,500
11/10/2015,SRAJ,200,200,187,187,200
11/9/2015,SRAJ,187,187,185,186,3100
11/13/2015,SRIL,342,345,335,335,16560800
11/12/2015,SRIL,346,352,342,344,16590200
11/11/2015,SRIL,355,358,343,343,21565100
11/10/2015,SRIL,354,364,349,349,25017200
11/9/2015,SRIL,373,374,359,359,23880900
11/13/2015,SRSN,50,50,50,50,0
11/12/2015,SRSN,50,50,50,50,0
11/11/2015,SRSN,50,50,50,50,200100
11/10/2015,SRSN,50,50,50,50,0
11/9/2015,SRSN,50,50,50,50,0
11/13/2015,SRTG,3975,3975,3975,3975,200
11/12/2015,SRTG,3975,3975,3975,3975,0
11/11/2015,SRTG,3975,3975,3975,3975,0
11/10/2015,SRTG,3975,3975,3975,3975,0
11/9/2015,SRTG,3975,3975,3975,3975,0
11/13/2015,SSIA,595,615,585,590,47037500
11/12/2015,SSIA,630,655,605,605,43689300
11/11/2015,SSIA,665,675,625,635,27426500
11/10/2015,SSIA,590,675,580,665,56666700
11/9/2015,SSIA,620,625,590,595,21618900
11/13/2015,SSTM,51,51,51,51,0
11/12/2015,SSTM,51,51,51,51,0
11/11/2015,SSTM,51,51,50,51,2200
11/10/2015,SSTM,51,51,51,51,100
11/9/2015,SSTM,51,51,51,51,100
11/13/2015,STAR,50,50,50,50,100
11/12/2015,STAR,50,50,50,50,0
11/11/2015,STAR,50,50,50,50,0
11/10/2015,STAR,50,50,50,50,200
11/9/2015,STAR,50,50,50,50,200
11/13/2015,STTP,3060,3060,3060,3060,1000
11/12/2015,STTP,3060,3060,3060,3060,100
11/11/2015,STTP,3060,3060,3060,3060,100
11/10/2015,STTP,3025,3025,3025,3025,1500
11/9/2015,STTP,3025,3025,3025,3025,0
11/13/2015,SUGI,382,383,379,381,90084200
11/12/2015,SUGI,381,383,381,382,66037800
11/11/2015,SUGI,384,384,378,380,62501000
11/10/2015,SUGI,385,385,381,384,76038100
11/9/2015,SUGI,382,385,381,385,88004800
11/13/2015,SULI,51,51,50,50,23100
11/12/2015,SULI,51,51,50,51,409500
11/11/2015,SULI,51,51,50,50,40100
11/10/2015,SULI,52,52,50,51,467600
11/9/2015,SULI,51,53,51,53,80700
11/13/2015,SUPR,8400,8400,8400,8400,0
11/12/2015,SUPR,8400,8400,8400,8400,4000
11/11/2015,SUPR,8400,8400,8400,8400,5000
11/10/2015,SUPR,8400,8400,8400,8400,5000
11/9/2015,SUPR,8400,8400,8400,8400,2500
11/13/2015,TAXI,136,136,136,136,0
11/12/2015,TAXI,145,145,131,136,67909800
11/11/2015,TAXI,161,166,145,145,28252700
11/10/2015,TAXI,179,179,160,161,37309300
11/9/2015,TAXI,192,197,174,176,30122000
11/13/2015,TBIG,6375,6575,6375,6550,1529100
11/12/2015,TBIG,6500,6700,6400,6400,863600
11/11/2015,TBIG,6550,6550,6375,6400,1484100
11/10/2015,TBIG,6700,6750,6350,6550,4944200
11/9/2015,TBIG,6825,7000,6700,6775,1048000
11/13/2015,TBLA,490,500,485,489,90100
11/12/2015,TBLA,494,494,480,490,622600
11/11/2015,TBLA,494,494,494,494,50000
11/10/2015,TBLA,468,490,461,480,205000
11/9/2015,TBLA,485,485,465,465,22700
11/13/2015,TBMS,6000,6000,6000,6000,0
11/12/2015,TBMS,6000,6000,6000,6000,0
11/11/2015,TBMS,6000,6000,6000,6000,0
11/10/2015,TBMS,6000,6000,6000,6000,0
11/9/2015,TBMS,6000,6000,6000,6000,0
11/13/2015,TCID,17400,17400,17400,17400,0
11/12/2015,TCID,17400,17400,17400,17400,0
11/11/2015,TCID,17400,17400,17400,17400,0
11/10/2015,TCID,17400,17400,17400,17400,0
11/9/2015,TCID,17400,17400,17400,17400,0
11/13/2015,TELE,735,740,715,720,1258800
11/12/2015,TELE,705,780,705,745,1994800
11/11/2015,TELE,700,705,680,700,1412000
11/10/2015,TELE,690,710,690,695,3079000
11/9/2015,TELE,700,725,690,690,2675000
11/13/2015,TFCO,895,895,895,895,0
11/12/2015,TFCO,895,895,895,895,0
11/11/2015,TFCO,895,895,895,895,0
11/10/2015,TFCO,895,895,895,895,0
11/9/2015,TFCO,895,895,895,895,0
11/13/2015,TGKA,2850,2850,2850,2850,0
11/12/2015,TGKA,2850,2850,2850,2850,0
11/11/2015,TGKA,2850,2850,2850,2850,0
11/10/2015,TGKA,2850,2850,2850,2850,0
11/9/2015,TGKA,2850,2850,2850,2850,0
11/13/2015,TIFA,165,165,165,165,0
11/12/2015,TIFA,165,165,165,165,0
11/11/2015,TIFA,165,165,165,165,0
11/10/2015,TIFA,149,165,149,165,11600
11/9/2015,TIFA,140,165,140,165,400
11/13/2015,TINS,585,585,550,555,4105800
11/12/2015,TINS,575,585,570,570,3391500
11/11/2015,TINS,580,580,560,570,5024000
11/10/2015,TINS,610,610,570,570,9115700
11/9/2015,TINS,620,620,595,600,1695400
11/13/2015,TIRA,1350,1350,1350,1350,0
11/12/2015,TIRA,1350,1350,1350,1350,0
11/11/2015,TIRA,1350,1350,1350,1350,0
11/10/2015,TIRA,1350,1350,1350,1350,0
11/9/2015,TIRA,1350,1350,1350,1350,0
11/13/2015,TIRT,58,58,51,51,199900
11/12/2015,TIRT,62,62,56,56,1000
11/11/2015,TIRT,61,61,54,59,5900
11/10/2015,TIRT,58,62,57,58,7000
11/9/2015,TIRT,63,63,63,63,400
11/13/2015,TKGA,1800,1800,1800,1800,0
11/12/2015,TKGA,1800,1800,1800,1800,0
11/11/2015,TKGA,1800,1800,1800,1800,0
11/10/2015,TKGA,1800,1800,1800,1800,0
11/9/2015,TKGA,1800,1800,1800,1800,0
11/13/2015,TKIM,545,545,525,530,10500
11/12/2015,TKIM,530,545,505,540,62700
11/11/2015,TKIM,530,530,510,510,35900
11/10/2015,TKIM,535,535,515,520,59200
11/9/2015,TKIM,550,550,515,520,133100
11/13/2015,TLKM,2705,2780,2700,2755,85542600
11/12/2015,TLKM,2700,2740,2675,2715,67582900
11/11/2015,TLKM,2680,2700,2660,2665,45329300
11/10/2015,TLKM,2700,2725,2695,2695,71540600
11/9/2015,TLKM,2740,2740,2700,2730,28610100
11/13/2015,TMAS,2000,2100,1860,2000,620300
11/12/2015,TMAS,2150,2150,2000,2000,221900
11/11/2015,TMAS,2105,2150,2025,2080,134000
11/10/2015,TMAS,2000,2200,1925,2095,3544100
11/9/2015,TMAS,1845,2050,1790,1975,1279000
11/13/2015,TMPI,431,434,420,433,35694700
11/12/2015,TMPI,430,431,427,431,42219700
11/11/2015,TMPI,435,435,428,430,45861900
11/10/2015,TMPI,439,439,434,435,34067100
11/9/2015,TMPI,440,441,436,440,45765600
11/13/2015,TMPO,76,76,75,76,94300
11/12/2015,TMPO,77,80,73,75,2086900
11/11/2015,TMPO,67,77,67,77,1032400
11/10/2015,TMPO,66,66,63,66,2700
11/9/2015,TMPO,65,67,65,65,14100
11/13/2015,TOBA,750,750,750,750,0
11/12/2015,TOBA,635,750,635,750,1300
11/11/2015,TOBA,670,670,670,670,0
11/10/2015,TOBA,685,685,670,670,1600
11/9/2015,TOBA,680,685,680,685,200
11/13/2015,TOTL,690,700,670,675,2897200
11/12/2015,TOTL,700,715,690,700,1098300
11/11/2015,TOTL,710,715,695,700,2102300
11/10/2015,TOTL,695,720,675,700,3090100
11/9/2015,TOTL,725,730,705,705,2610400
11/13/2015,TOTO,7150,7200,7100,7150,1017200
11/12/2015,TOTO,7025,7300,7025,7150,1107200
11/11/2015,TOTO,6975,7025,6950,7000,1460900
11/10/2015,TOTO,7000,7000,6925,6975,531700
11/9/2015,TOTO,7000,7000,6950,7000,569800
11/13/2015,TOWR,4300,4350,4200,4200,7300
11/12/2015,TOWR,4200,4200,4200,4200,2300
11/11/2015,TOWR,4200,4200,4200,4200,1300
11/10/2015,TOWR,4350,4350,4050,4050,500
11/9/2015,TOWR,4350,4350,4350,4350,400
11/13/2015,TPIA,3400,3400,3400,3400,0
11/12/2015,TPIA,3400,3400,3400,3400,0
11/11/2015,TPIA,3400,3400,3400,3400,0
11/10/2015,TPIA,3400,3400,3400,3400,0
11/9/2015,TPIA,3400,3400,3400,3400,0
11/13/2015,TPMA,238,239,237,239,4100
11/12/2015,TPMA,222,222,222,222,0
11/11/2015,TPMA,222,222,222,222,0
11/10/2015,TPMA,223,223,222,222,200
11/9/2015,TPMA,201,201,201,201,2000
11/13/2015,TRAM,50,50,50,50,112200
11/12/2015,TRAM,50,50,50,50,100
11/11/2015,TRAM,50,50,50,50,200
11/10/2015,TRAM,50,50,50,50,110300
11/9/2015,TRAM,50,50,50,50,1300
11/13/2015,TRIL,50,50,50,50,0
11/12/2015,TRIL,50,50,50,50,0
11/11/2015,TRIL,50,50,50,50,0
11/10/2015,TRIL,50,50,50,50,0
11/9/2015,TRIL,50,50,50,50,0
11/13/2015,TRIM,54,54,54,54,1000
11/12/2015,TRIM,54,54,54,54,0
11/11/2015,TRIM,54,54,54,54,1000
11/10/2015,TRIM,54,54,52,54,16000
11/9/2015,TRIM,50,54,50,54,64400
11/13/2015,TRIO,1800,1800,1800,1800,0
11/12/2015,TRIO,1800,1800,1800,1800,0
11/11/2015,TRIO,1800,1800,1800,1800,0
11/10/2015,TRIO,1800,1800,1800,1800,0
11/9/2015,TRIO,1800,1800,1800,1800,0
11/13/2015,TRIS,300,300,299,300,3252300
11/12/2015,TRIS,300,300,299,299,3071100
11/11/2015,TRIS,301,301,299,299,3265800
11/10/2015,TRIS,301,301,298,300,3293700
11/9/2015,TRIS,300,300,299,300,3105000
11/13/2015,TRST,310,325,310,316,81200
11/12/2015,TRST,320,325,300,322,767300
11/11/2015,TRST,335,335,315,315,52800
11/10/2015,TRST,300,325,300,325,637000
11/9/2015,TRST,300,305,290,299,506600
11/13/2015,TRUB,50,50,50,50,0
11/12/2015,TRUB,50,50,50,50,0
11/11/2015,TRUB,50,50,50,50,0
11/10/2015,TRUB,50,50,50,50,0
11/9/2015,TRUB,50,50,50,50,0
11/13/2015,TRUS,195,195,195,195,0
11/12/2015,TRUS,195,195,195,195,0
11/11/2015,TRUS,195,195,195,195,0
11/10/2015,TRUS,195,195,195,195,0
11/9/2015,TRUS,195,195,195,195,0
11/13/2015,TSPC,1630,1700,1630,1700,4800
11/12/2015,TSPC,1710,1710,1685,1685,78800
11/11/2015,TSPC,1710,1715,1695,1710,453200
11/10/2015,TSPC,1695,1715,1695,1710,227400
11/9/2015,TSPC,1725,1725,1690,1695,350800
11/13/2015,TURI,535,540,535,535,1822300
11/12/2015,TURI,535,540,535,535,2331900
11/11/2015,TURI,540,540,535,540,1879400
11/10/2015,TURI,535,540,535,535,1028100
11/9/2015,TURI,535,540,535,535,1748000
11/13/2015,ULTJ,3995,4000,3995,4000,10200
11/12/2015,ULTJ,3910,4000,3910,4000,5100
11/11/2015,ULTJ,3995,3995,3995,3995,200
11/10/2015,ULTJ,3805,4000,3805,4000,13600
11/9/2015,ULTJ,4000,4000,3900,3900,2700
11/13/2015,UNIC,1575,1575,1575,1575,0
11/12/2015,UNIC,1575,1575,1575,1575,0
11/11/2015,UNIC,1575,1575,1575,1575,0
11/10/2015,UNIC,1575,1575,1575,1575,0
11/9/2015,UNIC,1575,1575,1575,1575,0
11/13/2015,UNIT,271,271,271,271,0
11/12/2015,UNIT,271,271,271,271,0
11/11/2015,UNIT,271,271,271,271,0
11/10/2015,UNIT,271,271,271,271,0
11/9/2015,UNIT,271,271,271,271,0
11/13/2015,UNSP,50,50,50,50,0
11/12/2015,UNSP,50,50,50,50,100
11/11/2015,UNSP,50,50,50,50,0
11/10/2015,UNSP,50,50,50,50,0
11/9/2015,UNSP,50,50,50,50,52500
11/13/2015,UNTR,17400,18100,17200,17750,2964300
11/12/2015,UNTR,17550,17825,17550,17550,2925800
11/11/2015,UNTR,17650,17875,17500,17750,3287400
11/10/2015,UNTR,17750,18500,17525,17600,4770500
11/9/2015,UNTR,17925,18100,17525,17900,3585100
11/13/2015,UNTX,3700,3700,3700,3700,0
11/12/2015,UNTX,3700,3700,3700,3700,0
11/11/2015,UNTX,3700,3700,3700,3700,0
11/10/2015,UNTX,3700,3700,3700,3700,0
11/9/2015,UNTX,3700,3700,3700,3700,0
11/13/2015,UNVR,34600,36700,34500,36300,1969300
11/12/2015,UNVR,35200,35700,34600,34600,957700
11/11/2015,UNVR,35500,36050,35100,35175,2408000
11/10/2015,UNVR,36525,36700,35400,35400,1900800
11/9/2015,UNVR,36950,36950,36550,36700,879800
